cons_code,cons_name,Conservative,Green,Independent,Labour,LibDem,Reform,SNP,turnout,winner,Lab_pc,Con_pc,LD_pc,Green_pc,Ref_pc,Ind_pc
S14000066,Arbroath and Broughty Ferry,15773,0,312,5321,4168,0,26550,52124,SNP,0.1020834932085028,0.3026053257616453,0.07996316476095464,0,0,0.005985726344869925
S14000067,"Argyll, Bute and South Lochaber",17506,0,0,3592,7172,54,22403,50727,SNP,0.07081041654345813,0.34510221381118533,0.14138427267530113,0,0.0010645218522680228,0
E14001067,Arundel and South Downs,35117,2312,556,9108,11012,0,0,58105,Con,0.1567507099216935,0.604371396609586,0.1895189742707168,0.03979003528095689,0,0.009568883917046725
E14001068,Ashfield,16838,563,0,10986,890,2137,0,42949,Con,0.2557917530093832,0.3920463805909334,0.02072225197327062,0.013108570630282429,0.04975668816503295,0
E14001069,Ashford,28759,2234,862,11548,5176,0,0,48579,Con,0.23771588546491285,0.5920047757261367,0.10654809691430453,0.04598694909322958,0,0.01774429280141625
E14001070,Ashton-under-Lyne,14978,1440,0,19667,1774,3518,0,41377,Lab,0.4753123716074147,0.3619885443603934,0.042874060468376156,0.034801943108490226,0.08502308045532542,0
E14001071,Aylesbury,29924,1701,0,13284,12670,309,0,57888,Con,0.2294776119402985,0.5169292426755113,0.21887092316196793,0.029384328358208953,0.005337893864013267,0
S14000006,"Ayr, Carrick and Cumnock",17943,0,0,6219,2158,0,20272,46592,SNP,0.13347785027472528,0.3851090315934066,0.04631696428571429,0,0,0
S14000010,Central Ayrshire,16182,0,0,6583,2283,0,21486,46534,SNP,0.1414664546353204,0.34774573430180084,0.049060901706279275,0,0,0
S14000048,North Ayrshire and Arran,14855,1114,0,6702,2107,0,23376,48154,SNP,0.13917846907837356,0.30848942974623084,0.043755451260539105,0.02313411139261536,0,0
E14001072,Banbury,26397,1480,0,12598,10335,0,0,50810,Con,0.24794331824444008,0.5195237158039756,0.20340484156662075,0.02912812438496359,0,0
W07000083,Bangor Aberconwy,19355,0,0,18606,2142,455,0,48407,Con,0.38436589749416405,0.3998388662796703,0.04424979858284959,0,0.009399467019232756,0
E14001073,Barking,11003,750,0,24996,1356,2914,0,41019,Lab,0.6093761427631098,0.26824154660035593,0.03305785123966942,0.01828420975645433,0.07104024964041054,0
E14001074,Barnsley North,10663,1051,188,17141,1588,13139,0,44480,Lab,0.3853642086330935,0.23972571942446042,0.03570143884892086,0.02362859712230216,0.2953911870503597,0.004226618705035971
E14001075,Barnsley South,8497,773,0,15684,1311,10964,0,37508,Lab,0.41815079449717396,0.22653833848778926,0.034952543457395756,0.02060893676015783,0.29231097365895276,0
E14001076,Barrow and Furness,26551,770,0,19115,2256,1355,0,50047,Con,0.3819409754830459,0.5305213099686295,0.04507762703059124,0.015385537594661018,0.027074549923072313,0
E14001077,Basildon and Billericay,30867,1395,302,10118,3947,0,0,46853,Con,0.21595202014812287,0.6588051992401768,0.08424220434123748,0.029773973918425716,0,0.006445691844705782
E14001480,South Basildon and East Thurrock,29271,68,3014,10540,1836,0,0,44729,Con,0.23564130653491022,0.6544076549889334,0.04104719533188759,0.0015202664937736144,0,0.0673835766504952
E14001078,Basingstoke,26966,2007,746,14665,6797,0,0,51181,Con,0.2865321115257615,0.526875207596569,0.13280318868330043,0.03921377073523378,0,0.014575721459135226
E14001079,Bassetlaw,25941,0,0,13353,3210,5173,0,47677,Con,0.28007215219078385,0.5440988317217945,0.06732806174885166,0,0.10850095433856996,0
E14001080,Bath,18251,146,341,7120,30376,642,0,56876,LD,0.12518461213868767,0.3208910612560658,0.5340741261692102,0.002566987833180955,0.011287713622617624,0.00599549898023771
S14000068,Bathgate and Linlithgow,11635,1029,0,8874,3881,904,20306,47217,SNP,0.18794078403964673,0.24641548594785775,0.08219497214986127,0.02179299828451617,0.019145646695046276,0
E14001081,Battersea,19431,1364,0,25457,8316,350,0,54918,Lab,0.4635456498779999,0.35381842019010157,0.1514257620452311,0.0248370297534506,0.006373138133216796,0
E14001082,Beaconsfield,29211,1935,16276,5211,0,0,0,52633,Con,0.09900632682917561,0.5549940151615906,0,0.03676400737180096,0,0.3092356506374328
E14001083,Beckenham and Penge,23487,2416,0,24118,9657,464,0,60142,Lab,0.4010175916996442,0.3905257557114828,0.16056998437032355,0.040171593894449804,0.00771507432409963,0
E14001084,Bedford,19550,924,0,20663,4672,794,0,46603,Lab,0.44338347316696347,0.4195008905006115,0.1002510567989185,0.01982704976074502,0.017037529772761413,0
E14001359,Mid Bedfordshire,31034,1998,812,10525,6420,0,0,51325,Con,0.20506575742815392,0.6046566000974184,0.12508524111056987,0.03892839746712129,0,0.015820750121773017
E14001384,North Bedfordshire,34360,1585,2023,10729,7403,102,0,56202,Con,0.1909006796911142,0.6113661435536102,0.13172129105725777,0.028201843350770438,0.001814882032667877,0.035995160314579555
N05000001,Belfast East,NA,NA,0,NA,NA,NA,NA,45126,DUP,NA,0,NA,0,NA,0
N05000002,Belfast North,5,NA,0,NA,NA,NA,NA,48140,SF,NA,1.038637307852098e-4,NA,0,NA,0
N05000003,Belfast South and Mid Down,167,73,0,NA,NA,NA,NA,47669,SDLP,NA,0.0035033250120623466,NA,0.0015313935681470138,NA,0
N05000004,Belfast West,41,NA,0,NA,NA,NA,NA,42899,SF,NA,9.557332338749156e-4,NA,0,NA,0
E14001085,Bermondsey and Old Southwark,7710,25,0,22776,14261,1113,0,45885,Lab,0.4963713631905851,0.16802876757110166,0.3107987359703607,5.448403617740003e-4,0.024256292906178492,0
S14000008,"Berwickshire, Roxburgh and Selkirk",25747,0,0,2513,4287,0,20599,53146,Con,0.047284837993452,0.48445790840326636,0.08066458435253829,0,0,0
E14001086,Bethnal Green and Stepney,5065,2101,0,36720,4634,992,0,49951,Lab,0.7351204180096493,0.10139937138395627,0.09277091549718725,0.04206121999559568,0.019859462273027567,0
E14001087,Beverley and Holderness,30179,1234,0,12203,4579,0,0,49483,Con,0.2466099468504335,0.6098862235515228,0.09253683083079038,0.02493785744599155,0,0
E14001088,Bexhill and Battle,30716,2031,0,10332,6658,0,0,49737,Con,0.2077326738645274,0.617568409835736,0.13386412529907313,0.040834791000663485,0,0
E14001089,Bexleyheath and Crayford,28750,1070,0,13712,2832,416,0,47300,Con,0.2898942917547569,0.6078224101479915,0.05987315010570825,0.022621564482029597,0.00879492600422833,0
E14001090,Bicester and Woodstock,28030,1225,0,8762,13825,149,0,51991,Con,0.1685291685099344,0.5391317728068319,0.26591140774364797,0.023561770306399183,0.002865880633186513,0
E14001091,Birkenhead,8063,1552,0,31056,2062,1744,0,51762,Lab,0.599976816969978,0.15577064255631545,0.03983617325451103,0.029983385495150883,0.033692670298674704,0
E14001092,Birmingham Edgbaston,16167,1172,0,23858,3306,1096,0,45599,Lab,0.5232132283602711,0.3545472488431764,0.07250158994714796,0.025702318033290202,0.02403561481611439,0
E14001093,Birmingham Erdington,17213,746,0,20518,1349,1673,0,41499,Lab,0.49442155232656204,0.4147810790621461,0.03250680739294922,0.0179763367791995,0.04031422443914311,0
E14001094,Birmingham Hall Green and Moseley,7772,869,4119,34279,3703,997,0,51739,Lab,0.6625369643789019,0.15021550474496995,0.07157076866580335,0.01679584066178318,0.01926979647847852,0.0796111250700632
E14001095,Birmingham Hodge Hill and Solihull North,11793,1441,0,24744,1788,1271,0,41294,Lab,0.5992153823800068,0.28558628372160605,0.04329926865888507,0.03489611081513053,0.0307792899694871,0
E14001096,Birmingham Ladywood,4381,823,154,36964,1233,980,0,44535,Lab,0.8299988772875266,0.0983720669136634,0.027686089592455373,0.018479847311103623,0.022005164477377343,0.0034579544178735826
E14001097,Birmingham Northfield,20135,972,0,18657,2013,1661,0,43692,Con,0.4270118099423235,0.4608395129543166,0.046072507552870096,0.0222466355396869,0.038016112789526685,0
E14001098,Birmingham Perry Barr,9582,883,0,31907,3062,1333,0,46915,Lab,0.6801023126931685,0.20424171373761058,0.06526697218373655,0.018821272514121284,0.028413087498667805,0
E14001099,Birmingham Selly Oak,15291,1783,0,26936,3018,1319,0,48347,Lab,0.5571390158644797,0.3162760874511345,0.06242372846298633,0.03687922725298364,0.027281940968415824,0
E14001100,Birmingham Yardley,11208,503,0,24349,3743,2103,0,41906,Lab,0.5810385147711545,0.2674557342623968,0.08931895194005632,0.01200305445520928,0.050183744571183124,0
E14001101,Bishop Auckland,26239,300,325,18126,1782,2739,0,49511,Con,0.3661004625234797,0.5299630385166932,0.0359920017773828,0.006059259558481953,0.05532103976894023,0.006564197855022116
E14001102,Blackburn,10182,698,319,28798,1058,2590,0,43645,Lab,0.6598235765838011,0.23329132775804787,0.02424103562836522,0.01599266811776836,0.05934242181234964,0.007308970099667774
E14001103,Blackley and Middleton South,10599,764,0,22157,1130,2898,0,37548,Lab,0.5900980078832427,0.2822786832853947,0.030094811974006604,0.02034728880366464,0.07718120805369127,0
E14001104,Blackpool North and Fleetwood,27946,954,443,17827,2020,858,0,50048,Con,0.3561980498721228,0.5583839514066495,0.040361253196930943,0.019061700767263427,0.017143542199488493,0.008851502557544758
E14001105,Blackpool South,20715,810,368,17015,1497,2009,0,42414,Con,0.40116470976564345,0.48840005658508984,0.035294949780732776,0.019097467817230162,0.0473664356108832,0.008676380440420616
W07000084,Blaenau Gwent and Rhymney,8246,418,378,21215,1576,7574,0,42094,Lab,0.5039910676105859,0.19589490188625455,0.03744001520406709,0.009930156316814747,0.17993063144391125,0.008979902123818122
E14001106,Blaydon and Consett,16371,1421,1083,20656,2146,4555,0,46965,Lab,0.4398168849142979,0.348578728840626,0.04569360161822634,0.030256574044501227,0.09698711806664537,0.023059725327371446
E14001107,Blyth and Ashington,14382,1248,0,20500,2761,3921,0,42990,Lab,0.47685508257734355,0.33454291695743194,0.06422423819492906,0.02903000697836706,0.09120725750174459,0
E14001108,Bognor Regis and Littlehampton,32645,1711,367,9963,6978,0,0,52510,Con,0.18973528851647306,0.6216911064559132,0.13288897352885162,0.03258426966292135,0,0.006989144924776233
E14001109,Bolsover,21792,717,987,16519,1741,3920,0,45676,Con,0.36165601190997465,0.4770995708906209,0.03811629739907173,0.015697521674402314,0.08582187582100008,0.02160872230493038
E14001110,Bolton North East,22436,803,0,21158,2188,3259,0,49844,Con,0.4244843913008587,0.45012438809084343,0.043896958510552926,0.016110264023754112,0.06538399807399085,0
E14001111,Bolton South and Walkden,13961,1077,0,24890,1695,2361,0,43984,Lab,0.5658875954892688,0.31741087668242995,0.03853674063295744,0.02448617679156057,0.053678610403783196,0
E14001112,Bolton West,28197,893,0,17578,2815,385,0,49868,Con,0.35249057511831233,0.5654327424400417,0.05644902542712762,0.017907275206545278,0.007720381807973049,0
E14001113,Bootle,4510,1166,0,39066,1822,2610,0,49174,Lab,0.7944442184894456,0.09171513401390978,0.037052100703623865,0.023711717574327898,0.053076829218692806,0
E14001114,Boston and Skegness,34406,0,1428,7004,2180,0,0,45018,Con,0.15558221155982052,0.7642720689501976,0.048425074414678575,0,0,0.031720645075303214
E14001115,Bournemouth East,24957,2052,761,16140,5418,0,0,49328,Con,0.32719753486863445,0.5059398313331172,0.1098361985079468,0.04159909179370743,0,0.015427343496594227
E14001116,Bournemouth West,24512,2066,0,14571,4603,0,0,45752,Con,0.31847788074838257,0.5357579996502885,0.10060762371043888,0.04515649589089001,0,0
E14001117,Bracknell,26022,1865,553,11893,6555,0,0,46888,Con,0.25364698856850365,0.5549820849684354,0.1398012284593073,0.03977563555707217,0,0.011794062446681453
E14001118,Bradford East,9344,638,0,27105,3302,2647,0,43036,Lab,0.6298215447532298,0.21712055023701088,0.07672646156706014,0.01482479784366577,0.06150664559903337,0
E14001119,Bradford South,16381,1007,0,19110,1519,2872,0,40889,Lab,0.4673628604270097,0.40062119396414686,0.037149355572403335,0.024627650468341117,0.070238939568099,0
E14001120,Bradford West,6717,813,90,33736,1349,1556,0,44261,Lab,0.7622060052868214,0.15175888479699962,0.03047829917986489,0.018368315221074988,0.035155102686337855,0.0020333928289012902
E14001121,Braintree,34863,233,2169,9397,5013,0,0,51675,Con,0.18184808901790034,0.6746589259796807,0.09701015965166908,0.004508950169327528,0,0.04197387518142235
W07000085,"Brecon, Radnor and Cwm Tawe",24368,221,0,9164,15277,964,0,52276,Con,0.17530032902287856,0.46614125028693854,0.2922373555742597,0.004227561404851175,0.018440584589486574,0
E14001122,Brent East,10344,1426,0,28100,3972,175,0,44017,Lab,0.6383897130654066,0.23500011359247558,0.09023786264397848,0.032396574050934865,0.003975736647204489,0
E14001123,Brent West,16361,826,270,25792,4408,750,0,48407,Lab,0.5328155018902225,0.3379883074761915,0.09106121015555602,0.017063647819530233,0.015493626954779268,0.005577705703720536
E14001124,Brentford and Isleworth,14609,1540,0,25978,8425,1063,0,51615,Lab,0.5033033033033033,0.28303787658626367,0.16322774387290515,0.029836287900804028,0.020594788336723825,0
E14001125,Brentwood and Ongar,36202,1675,0,7228,7179,0,0,52816,Con,0.1368524689488034,0.6854362314450166,0.13592471978188428,0.031713874583459555,0,0
W07000086,Bridgend,20531,868,0,17978,2453,2437,0,46708,Con,0.38490194399246386,0.4395606748308641,0.05251776997516485,0.018583540292883446,0.052175216237047184,0
E14001126,Bridgwater,26058,925,0,9334,7932,0,0,45004,Con,0.207403786330104,0.579015198649009,0.17625099991111903,0.02055372855746156,0,0
E14001127,Bridlington and the Wolds,30916,1323,0,9231,3479,0,0,46440,Con,0.19877260981912145,0.6657192075796726,0.07491386735572783,0.028488372093023257,0,0
E14001128,Brigg and Immingham,33989,1315,0,9545,2067,329,0,47245,Con,0.2020319610540798,0.719420044449148,0.04375066144565563,0.027833633188697218,0.006963699862419304,0
E14001129,Brighton Kemptown and Peacehaven,17019,2813,0,25299,2964,1335,0,49430,Lab,0.5118146874367793,0.34430507788792236,0.05996358486748938,0.056908759862431726,0.0270078899453773,0
E14001130,Brighton Pavilion,10129,32575,212,12945,0,762,0,57101,Green,0.22670356035796221,0.17738743629708761,0,0.5704803768760617,0.013344775047722458,0.003712719567082888
E14001131,Bristol Central,7376,13381,0,30077,0,593,0,51427,Lab,0.5848484259241254,0.14342660470181035,0,0.26019406148521207,0.01153090788885216,0
E14001132,Bristol East,12887,4664,0,32280,3840,1615,0,55286,Lab,0.5838729515609739,0.2330969865788807,0.06945700539015302,0.08436132113012336,0.029211735339869045,0
E14001133,Bristol North East,19134,1948,0,24598,2494,731,0,48905,Lab,0.5029751559145281,0.39124833861568353,0.05099683058991923,0.03983232798282384,0.014947346897045292,0
E14001134,Bristol North West,21312,3728,0,28547,4735,83,0,58405,Lab,0.4887766458351169,0.36490026538823733,0.08107182604229089,0.06383015152812259,0.0014211112062323431,0
E14001135,Bristol South,15840,2445,0,24917,3012,2054,0,48268,Lab,0.5162219275710617,0.3281677301731996,0.06240159111626751,0.05065467804756775,0.04255407309190354,0
E14001136,Broadland and Fakenham,31239,1318,0,11414,8480,0,0,52814,Con,0.21611693869049872,0.591490892566365,0.16056348695421668,0.024955504222365282,0,0
E14001137,Bromley and Biggin Hill,26710,1806,0,12330,7838,0,0,49058,Con,0.25133515430714665,0.5444575808226997,0.15977006808267763,0.03681356761384483,0,0
E14001138,Bromsgrove,34408,1783,0,11302,6779,0,0,54272,Con,0.2082473466981132,0.6339917452830189,0.12490787146226418,0.03285303655660377,0,0
E14001139,Broxbourne,30627,1321,0,11435,4292,0,0,47675,Con,0.23985317252228633,0.6424121657052964,0.09002621919244888,0.027708442579968535,0,0
E14001140,Broxtowe,24083,1606,321,20264,270,364,0,53321,Con,0.38003788376061964,0.45166069653607394,0.005063670973912717,0.03011946512631046,0.0068265786463119595,0.006020142157874008
E14001141,Buckingham and Bletchley,27912,629,681,14567,8118,508,0,52609,Con,0.27689178657644126,0.5305556083559847,0.1543081982170351,0.011956129179417971,0.009656142485126118,0.012944553213328517
E14001360,Mid Buckinghamshire,33321,1477,0,8283,10673,469,0,54223,Con,0.15275805470003503,0.6145178245394021,0.19683529129705107,0.02723936336978773,0.008649466093724065,0
E14001142,Burnley,19056,847,132,18929,3614,3362,0,47102,Con,0.4018725319519341,0.4045688081185512,0.07672710288310475,0.01798225128444652,0.07137701159186446,0.0028024287716020553
E14001143,Burton and Uttoxeter,29560,1433,0,15064,2681,0,0,48738,Con,0.30908120973367803,0.6065082687020396,0.05500841232713694,0.029402109237145556,0,0
E14001144,Bury North,25285,939,158,24003,1639,1446,0,53470,Con,0.44890592855806993,0.472881989900879,0.030652702449971946,0.017561249298672154,0.027043201795399287,0.002954927997007668
E14001145,Bury South,21574,900,1485,20639,3059,1847,0,49634,Con,0.4158238304388121,0.4346617238183503,0.061631139944392954,0.01813273159527743,0.037212394729419354,0.02991900713220776
E14001146,Bury St Edmunds and Stowmarket,33023,6520,1435,10938,565,0,0,52481,Con,0.20841828471256263,0.6292372477658581,0.010765800956536653,0.12423543758693623,0,0.027343228978106364
W07000087,Caerfyrddin,20891,0,0,13380,686,2023,0,53342,Con,0.25083423943609157,0.3916426080761876,0.012860410183345206,0,0.037925087173334336,0
W07000088,Caerphilly,12882,164,0,19783,323,5287,0,45069,Lab,0.4389491668330782,0.28582839645876323,0.0071667887017684,0.003638864851671881,0.117309015065788,0
S14000069,"Caithness, Sutherland and Easter Ross",9139,336,0,2799,17710,1510,20498,52720,SNP,0.053091805766312596,0.1733497723823976,0.33592564491654026,0.00637329286798179,0.028641881638846737,0
E14001147,Calder Valley,28991,0,0,23884,2858,0,0,56454,Con,0.4230701101781982,0.5135331420271371,0.05062528784497113,0,0,0
E14001148,Camborne and Redruth,27471,1441,0,17623,4370,0,0,51581,Con,0.34165681161668054,0.5325798259048874,0.08472111824121285,0.027936643337663093,0,0
E14001149,Cambridge,7344,2068,111,23600,15501,958,0,49740,Lab,0.4744672295938882,0.14764776839565744,0.3116405307599518,0.0415761962203458,0.019260152794531565,0.0022316043425814236
E14001390,North East Cambridgeshire,32934,1503,0,7155,2992,0,0,44584,Con,0.1604835815539207,0.7386954961421138,0.06710927687062623,0.033711645433339314,0,0
E14001401,North West Cambridgeshire,28201,2464,0,11169,5173,25,0,47032,Con,0.23747661166865114,0.5996130294267733,0.10998894369790779,0.05238986222146624,5.315529852015649e-4,0
E14001481,South Cambridgeshire,26153,96,0,9091,24655,83,0,60078,Con,0.15131995073071672,0.4353174206864409,0.41038316854755486,0.0015979227004893637,0.0013815373347980959,0
E14001150,Cannock Chase,31636,2920,0,11757,0,0,0,46313,Con,0.25385960745363073,0.6830911407164295,0,0.06304925182993976,0,0
E14001151,Canterbury,25622,0,505,27782,3257,0,0,57166,Lab,0.48598817478921036,0.4482034775915754,0.056974425357730125,0,0,0.0088339222614841
W07000089,Cardiff East,10626,300,119,27705,5752,1617,0,46781,Lab,0.5922276137748231,0.22714349842884932,0.12295590089993802,0.0064128599217631085,0.034565314978303154,0.0025437677689660334
W07000090,Cardiff North,19551,820,288,27130,3582,1450,0,54709,Lab,0.4958964704162021,0.35736350509057013,0.06547368805863753,0.014988393134584803,0.026503865908717027,0.005264216125317589
W07000091,Cardiff South and Penarth,15179,1153,0,27030,3528,1389,0,50370,Lab,0.536628945801072,0.3013500099265436,0.07004169148302561,0.02289060948977566,0.027575938058368075,0
W07000092,Cardiff West,15505,1141,159,26051,2749,1917,0,51941,Lab,0.5015498353901542,0.2985117729731811,0.05292543462775072,0.021967232051751027,0.0369072601605668,0.0030611655532238502
E14001152,Carlisle,28959,823,0,17669,2560,0,0,51240,Con,0.3448282591725215,0.5651639344262295,0.04996096799375488,0.01606167056986729,0,0
E14001153,Carshalton and Wallington,20822,759,0,6081,20193,1043,0,49098,Con,0.12385433215202248,0.424090594321561,0.41127948185262125,0.01545887816204326,0.021243227830054178,0
E14001154,Castle Point,34611,0,0,7602,3004,0,0,45217,Con,0.16812260875334498,0.7654422009421235,0.06643519030453147,0,0,0
W07000093,Ceredigion Preseli,14602,663,0,10733,7561,2063,0,51667,PC,0.2077341436506861,0.2826175314997968,0.14634099134844292,0.01283217527628854,0.039928774653066754,0
E14001157,Chatham and Aylesford,30183,1138,0,11191,3085,0,0,45809,Con,0.24429697221070096,0.6588879914427297,0.0673448448994739,0.024842279901329433,0,0
E14001158,Cheadle,25694,0,0,6851,23358,0,0,55903,Con,0.1225515625279502,0.4596175518308499,0.4178308856411999,0,0,0
E14001159,Chelmsford,29447,0,0,9768,14031,0,0,53826,Con,0.18147363727566604,0.5470776204808084,0.2606732805707279,0,0,0
E14001160,Chelsea and Fulham,24909,228,0,15916,13053,175,0,54781,Con,0.2905386904218616,0.45470144758219083,0.2382760446140085,0.004162026980157354,0.0031945382523137582,0
E14001161,Cheltenham,27563,0,0,2733,26142,0,0,56883,Con,0.04804598913559412,0.48455601849410196,0.45957491693476077,0,0,0
E14001162,Chesham and Amersham,30264,2600,1326,7473,12048,0,0,53711,Con,0.1391335108264601,0.5634599988829104,0.2243115935283275,0.048407216398875456,0,0.024687680363426487
E14001361,Mid Cheshire,22022,921,0,19528,3934,502,0,46907,Con,0.41631313023642524,0.46948216684077004,0.08386807939113565,0.01963459611571834,0.01070202741595071,0
E14001163,Chester North and Neston,20746,1202,0,27137,3337,1502,0,53924,Lab,0.503245308211557,0.3847266523254952,0.06188339143980417,0.02229063125880869,0.027854016764334986,0
E14001164,Chester South and Eddisbury,32703,1163,0,11877,8446,569,0,55209,Con,0.2151279682660436,0.5923490735206216,0.15298230360991869,0.021065406002644494,0.010306290641018673,0
E14001165,Chesterfield,16720,1148,391,18171,3985,4771,0,45186,Lab,0.4021378303014208,0.37002611428318505,0.08819103262072323,0.025406099234276103,0.10558580091178683,0.008653122648607976
E14001166,Chichester,29981,2499,0,7850,10359,0,0,51022,Con,0.1538551997177688,0.5876092665908823,0.20303006546195757,0.048978871859198,0,0
E14001167,Chingford and Woodford Green,26322,213,0,24718,3193,160,0,54606,Con,0.4526608797568033,0.48203494121525103,0.05847342782844376,0.0039006702560158224,0.0029300809434860634,0
E14001168,Chippenham,28485,853,0,5896,15285,0,0,50519,Con,0.11670856509432095,0.5638472653853006,0.30255943308458205,0.01688473643579643,0,0
E14001169,Chipping Barnet,27777,1261,0,23568,5745,0,0,58422,Con,0.40340967443771186,0.4754544520899661,0.09833624319605627,0.021584334668446815,0,0
E14001170,Chorley,0,3600,9439,0,0,0,0,39870,Spkr,0,0,0,0.09029345372460497,0,0.23674441936292953
E14001171,Christchurch,34037,2174,0,6676,9003,0,0,51890,Con,0.1286567739448834,0.6559452688379264,0.17350163808055502,0.04189631913663519,0,0
E14001172,Cities of London and Westminster,21020,1010,0,15044,14713,103,0,52116,Con,0.28866375009593986,0.4033310307774963,0.2823125335789393,0.01937984496124031,0.0019763604267403483,0
E14001174,Clacton,32825,1341,1342,7108,2829,0,0,45669,Con,0.15564168254176794,0.7187588955308852,0.0619457399986862,0.029363463180713395,0,0.02938535987212332
E14001175,Clapham and Brixton Hill,9481,2045,0,26924,9633,549,0,48632,Lab,0.5536272413225859,0.19495393979272907,0.19807945385754241,0.04205050172725778,0.011288863299884851,0
W07000094,Clwyd East,25324,0,0,20040,2823,2173,0,52820,Con,0.3794017417644832,0.479439606209769,0.05344566452101476,0,0.04113971980310488,0
W07000095,Clwyd North,23479,0,0,20645,2501,951,0,51289,Con,0.40252295813917216,0.45777847101717717,0.0487628926280489,0,0.01854198756068553,0
S14000070,Coatbridge and Bellshill,5444,701,0,16646,1375,0,21730,45896,SNP,0.3626895590029632,0.11861600139445704,0.02995903782464703,0.015273662192783685,0,0
E14001176,Colchester,25693,1436,0,14753,7209,0,0,49091,Con,0.3005235175490416,0.5233749567130431,0.14684972805605917,0.02925179768185614,0,0
E14001177,Colne Valley,26517,893,102,18756,3630,1089,0,51765,Con,0.3623297594900029,0.5122573167197914,0.07012460156476384,0.01725103834637303,0.021037380469429153,0.0019704433497536944
E14001178,Congleton,30207,1423,0,12004,5521,0,0,49813,Con,0.24098126994961155,0.6064079657920624,0.11083452110894748,0.028566839981530926,0,0
E14001179,Corby and East Northamptonshire,29443,0,0,20767,3680,0,0,53890,Con,0.38535906476155135,0.5463536834292076,0.06828725180924104,0,0,0
E14001385,North Cornwall,31941,101,0,5201,16158,0,0,54077,Con,0.09617767257799065,0.5906577657784271,0.2987961610296429,0.001867707158311297,0,0
E14001486,South East Cornwall,30839,1405,0,10614,8520,0,0,52247,Con,0.2031504201198155,0.5902539858747871,0.1630715639175455,0.02689149616245909,0,0
E14001386,North Cotswolds,30140,2944,0,8391,9143,175,0,50793,Con,0.1651999291240919,0.5933888527946765,0.1800051188155848,0.057960742622014845,0.0034453566436319968,0
E14001482,South Cotswolds,30798,2016,0,5669,14706,0,0,53189,Con,0.10658218804640056,0.5790294985805335,0.2764857395326102,0.037902573840455735,0,0
E14001180,Coventry East,14950,995,0,22238,2307,2194,0,42684,Lab,0.520991472214413,0.3502483366132509,0.05404835535563677,0.02331084247024646,0.051400993346453004,0
E14001181,Coventry North West,20710,1443,0,20918,2717,1956,0,47744,Lab,0.43812835120643434,0.43377178284182305,0.05690767426273458,0.030223693029490618,0.04096849865951743,0
